RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
AGON,312 139 413 00032,SARL,Bruno Pierre Marie BLOHORN,01/01/1978,Entre 1 et 2 salariés,Culture du riz,0112Z,508,1.22,1160,717,180,181,78.8,427.5,5.6,0.5,83.4,1978,1.62,0.16,0.00,0.36,14.72,14.07,2,2
FERMES FRANCAISES,061 800 231 00054,SAS,David CALVIERE,01/07/1985,Entre 3 et 5 salariés,Culture du riz,0112Z,1600,352,1010,6001,471,717,790,5417,0.2,246,663,7283,0.17,0.49,0.22,0.82,1.28,3950.00,1,0
BOSCHET,404 382 210 00023,EURL,Romain Vincent & Hyacinthe BOSCHET,01/02/1996,Entre 6 et 9 salariés,Traitement primaire des récoltes,0163Z,1450,-20.8,1770,69,35.7,78.2,260,7.6,32,42.5,276,1398,25.65,0.18,-0.01,0.05,6.81,8.13,3,3
EUROSOL FONDATIONS,390 164 358 00025,SAS,Michel DESMOULINS & Eric TOFFART & Patrick ROUX,25/01/1993,Entre 20 et 49 salariés,Construction et entretien de tunnels,4213B,6970,64.9,625,1456,1750,1810,226,500,19.1,58.2,186,4406,0.43,0.03,0.01,0.33,2.77,11.83,2,2
SEMARA,749 939 351 00021,SAS,SAS BENOIST SEM & PRICEWATERHOUSECOOPERS & Jocelyne ANQUETIL & Jean-Pascal LAIGLE & Guy TABEL Laurent & François GUERREIRO,30/01/2012,Entre 20 et 49 salariés,Traitement des semences,0164Z,4020,8,4200,2372,-2560,-2560,942,5000,175,0,772,10426,1.77,0.23,0.00,0.23,4.46,5.38,3,3
EPTASEM,791 866 098 00019,SASU,Emmanuel Jean-Claude PECHOT,18/03/2013,Entre 1 et 2 salariés,Traitement des semences,0164Z,676,89.6,367,173.6,58.5,226,216,10,6.3,167,158,704.3,2.11,0.32,0.13,0.25,1.70,34.29,2,2
PARC DE CHASSE DE FONTCOUVERTE,752 217 497 00011,EURL,Julien Simon & Marie BONNEFILLE,12/04/2012,Entre 1 et 2 salariés,"Chasse, piégeage et services annexes",0170Z,160,-0.915,0,26.4,-66.1,-51,14,1,0.1,15.1,13.9,73.9,0.00,0.09,-0.01,0.36,0.00,0.00,3,3
HUGOU DUMAS,343 058 905 00013,SASU,Gilbert Lucien & Marcel HUGOU & Caroline Jeanine HUGOU & AIX AUDIT COMMISSARIAT & Philippe BICAIS,01/11/1987,Entre 3 et 5 salariés,Récolte de produits forestiers non ligneux poussant à l'état sauvage,0230Z,3930,63.3,57,1439,664,1260,130,2800,1.7,597,114,1722,0.04,0.00,0.02,0.84,0.44,8.24,2,2
SETANO,800 937 294 00018,SASU,Charles Marcel GIUDICELLI,01/04/2014,Entre 3 et 5 salariés,Culture d'agrumes,0123Z,456,360,5.74,814,485,630,497,134,0.1,145,385,956,0.01,01.09,0.79,0.85,0.01,4970.00,1,0
GFA LE PETIT FLAMANT,415 181 510 00017,Groupement foncier agricole,Gabrièle Angelo Luigi Maria COLOMBARA & Angelo Giovanni Francesco COLOMBARA,01/02/1998,0 salarié,Culture du riz,0112Z,213,107,1060,882.3,264,1110,117,3.1,0.4,850,118,2043,1.20,0.55,0.50,0.43,0.96,292.50,1,1
